I_68,I_68_corr_by_N5_bgs
1.192308,0.000423532
1.131579,0.000305347
0.9148938,0.000217226
1.060606,0.000278666
1.354167,0.000469165
1.26087,0.000457659
1.133334,0.000362957
1.424243,0.000528851
2.933335,0.001114906
359.0727,0.155393472
1299.934,0.550968155
1934.548,0.808093501
2991.581,1.231242966
6334.642,2.648541381
6288.606,2.612323056
4412.128,1.774558863
3486.754,1.375960203
3050.509,1.202695796
2914.251,1.168196281
2824.569,1.148952535
2778.024,1.148925442
2704.147,1.132363057
2546.876,1.071617758
2343.088,0.98717876
2076.167,0.870381677
1760.18,0.73295619
1428.451,0.584487546
1150.488,0.461785067
934.1675,0.366594695
780.1752,0.297904638
665.9752,0.249573187
575.0275,0.211804466
541.2952,0.200051774
522.4566,0.194526506
517.5232999999999,0.19566212
511.6292,0.196701456
499.1093,0.1929723
476.0842,0.185777654
446.411,0.173913599
402.864,0.154987375
361.8337,0.13848151
324.522,0.122215968
282.2619,0.103826225
245.767,0.088359221
213.5794,0.074371378
193.0009,0.065981176
182.0009,0.062025558
174.4093,0.059024414
168.8242,0.057410077
166.2362,0.058117954
161.4739,0.056452418
159.9958,0.056632107
153.867,0.055065292
148.6156,0.052900485
140.3519,0.050011454
129.6115,0.045078431
119.3146,0.040860237
107.3434,0.035974525
98.30577,0.032037329
87.65652,0.026974905
80.31863,0.024182614
77.02564,0.023274299
73.1718,0.021545559
71.47846,0.021565669
72.17956,0.022137836
70.40857,0.021717476
69.40693,0.02131825
68.93707000000001,0.021453186
66.81931,0.021013958
63.47411,0.019889595
60.07789,0.017881307
55.54194,0.01600499
51.75828,0.014640324
47.12413,0.012509861
44.84825,0.012007095
42.76169,0.011444798
41.59538,0.010945923
41.52464,0.011304201
40.24873,0.010786845
39.78326,0.011075963
38.80819,0.010832989
37.84899,0.010339851
36.23751,0.010058325
34.4942,0.009259425
32.31357,0.008726937000000001
31.01932,0.008233737
28.92969,0.007453056
27.94898,0.006984135
27.07757,0.006745596
26.06291,0.00633657
25.03165,0.006232286
24.56697,0.006035445
23.66289,0.005831804
23.54381,0.005924785
22.9166,0.005804987
22.32525,0.005655569
21.46075,0.005214372
20.60652,0.005117506
20.04519,0.004823416
19.83541,0.004823201
18.62271,0.004535822
18.05366,0.004175946
17.17743,0.003934158
16.37734,0.003762719
16.11516,0.003651034
15.85747,0.003619628
15.23749,0.003334457
15.09958,0.003320304
14.97833,0.003338536
14.44637,0.003242939
14.13777,0.003178848
13.84733,0.003132394
13.28334,0.00298571
13.04314,0.002881809
12.27439,0.002647405
12.05954,0.002656018
11.82685,0.002542208
11.35019,0.002321272
11.24748,0.002302744
11.10728,0.002326506
10.57552,0.002153729
10.4074,0.002078337
10.49822,0.002272422
10.1155,0.002136763
9.921445,0.00201797
9.515045000000001,0.001887197
9.612703,0.001945848
9.109584,0.001808698
9.154429,0.00173184
8.681201,0.001722177
8.686221,0.00172443
8.374264,0.001710699
8.095207,0.00151204
7.969191,0.001513042
7.625251,0.001422138
7.617396,0.001412206
7.5187,0.001439728
7.275582,0.001388815
7.212487,0.001314427
7.18389,0.001261788
7.164791,0.001359811
7.007621,0.0013274
6.764638,0.001162681
6.738569,0.001270361
6.517486,0.001231054
5.993225,0.000905388
6.086413,0.001019279
6.028656,0.001060475
6.09918,0.001041163
5.777615,0.00093517
5.774043,0.00093008
5.736733,0.001008738
5.788172,0.001059956
5.58656,0.000961938
5.650663,0.00101693
5.286187,0.000883152
5.218879,0.000775885
5.198591,0.000892659
5.15821,0.000875005
4.92239,0.000766539
4.975719,0.000807105
4.875028,0.000775224
4.812139,0.000764436
4.767246,0.000716642
4.586759,0.000683515
4.54045,0.00063688
4.587323,0.000740069
4.626555,0.000721482
328.3891,NAN
4.34548,0.000663648
4.257457,0.000682827
4.24255,0.000646735
4.153023,0.000629123
4.154557,0.000613082
4.34827,0.000733645
3.964395,0.000562897
4.022519,0.000603236
3.978916,0.000581244
3.837392,0.000409606
3.917166,0.000505958
3.832309,0.000463969
3.812919,0.000552319
3.664726,0.000456609
3.783929,0.00055625
3.712689,0.000512704
3.580869,0.000431973
3.684286,0.0004986530000000001
3.561201,0.000438463
3.521287,0.000472062
3.52697,0.000480002
3.509264,0.000509346
3.369629,0.000402973
3.350565,0.00039745
3.394121,0.000404428
3.491664,0.000449037
3.334038,0.000364776
3.214022,0.000360232
3.274623,0.000382209
3.215332,0.000383149
3.246505,0.000409608
3.164569,0.000294844
3.144379,0.000374717
3.105629,0.000311562
3.099443,0.000376026
3.066173,0.000361291
3.028073,0.000306038
2.902848,0.000308197
2.95173,0.000310058
2.974878,0.000368826
2.894624,0.000274698
2.996477,0.000340993
2.947122,0.000346476
2.903704,0.000326051
3.079514,0.000419499
2.87846,0.000311564
2.824337,0.000301849
2.823761,0.000322249
2.806974,0.000319494
2.897173,0.000334443
2.812443,0.000331259
2.844899,0.000286032
2.857557,0.000361643
2.801893,0.000273142
2.736315,0.000253331
2.713311,0.000250838
2.697381,0.000254689
2.720472,0.000285475
2.682429,0.000253876
2.791384,0.000313016
2.663362,0.000290088
2.735779,0.000314197
2.67064,0.000292956
2.621959,0.000244336
2.601834,0.000299599
2.559326,0.000253238
2.681662,0.000281699
2.578724,0.000265272
2.634155,0.000254617
2.551859,0.000230125
2.603969,0.000265388
2.466145,0.000217648
2.528218,0.000230428
2.47199,0.000198828
2.579733,0.000254938
2.433514,0.000219623
2.446113,0.000230523
2.49695,0.000261244
2.49556,0.000219587
2.483898,0.000239655
2.455199,0.000207395
2.456406,0.000252259
2.417116,0.000223907
2.414164,0.000169131
2.392401,0.000170935
2.413741,0.000222899
2.394269,0.000180005
2.337186,0.000156727
2.500283,0.00021331
2.421714,0.000201083
2.368589,0.000195679
2.344928,0.000190938
2.417448,0.00023605
2.434486,0.000248636
2.309627,0.000183888
2.385059,0.000219533
2.248587,0.000148073
2.343313,0.000224208
2.397691,0.000222058
2.300977,0.000175506
2.32935,0.000177994
2.309276,0.000190144
2.3317,0.00018622
2.32655,0.000221905
2.36771,0.000194821
2.328234,0.000182605
2.19784,0.000166106
2.279126,0.000226524
2.241738,0.00018486
2.281672,0.000195468
2.130018,0.000126341
2.336228,0.000222132
2.168434,0.000154941
2.170801,0.00014969
2.188928,0.000158572
2.116263,0.000114668
2.275083,0.000199029
2.222741,0.000198645
2.219358,0.000188498
2.238494,0.000180286
2.161567,0.000135228
2.23807,0.000154349
2.216314,0.000206188
2.066152,8.52121e-05
2.161266,0.000183429
2.157741,0.000172408
2.140858,0.000159077
2.129467,0.000138344
2.136642,0.000114669
2.148846,0.000182578
2.08209,0.000141916
2.098308,0.000141681
2.06565,0.000102369
2.12754,0.00017927
2.093063,0.000154226
2.115922,0.000148088
2.138798,0.000161985
2.14024,0.000169465
2.076981,0.000126268
2.22218,0.000183142
2.040813,0.000140392
2.096829,0.000165021
2.06071,0.000161202
2.066585,0.000140238
1.994003,7.44729e-05
2.104389,0.000121085
2.147009,0.000188404
2.108944,0.000152432
2.094117,0.000159662
2.084172,0.000153275
2.098177,0.000192477
2.027883,0.000134815
2.031463,0.000100939
2.055255,0.000116374
2.032364,0.000127229
2.003961,9.33344e-05
2.000369,0.000123306
2.057822,0.000187997
2.035497,0.000169658
2.083276,0.000169437
2.077842,0.000165505
2.009053,0.000133259
2.029197,0.000144689
2.108462,0.000197612
2.027099,0.000139337
2.002074,0.00014252
2.027352,0.000172885
2.002952,0.000106873
2.007785,0.000133844
2.013423,0.000186782
1.988078,0.000162918
2.028453,0.000167495
2.013591,0.000145769
2.002755,0.000166568
2.015417,0.000162742
1.884901,9.52655e-05
1.898624,9.080380000000001e-05
1.960335,0.000102019
1.925142,7.76587e-05
2.007635,0.000157325
2.04261,0.000166421
1.992338,0.000175308
1.947652,0.000120461
1.94011,0.000114013
1.898683,0.000100779
1.882801,0.000107108
1.916689,0.000118585
1.919246,0.000140012
1.998185,0.000199797
1.899947,9.969120000000001e-05
738.6423,NAN
1.916959,0.00012023
1.937147,0.000154782
1.973455,0.00013127
1.892234,0.000102733
1.863922,9.72545e-05
1.885526,0.000105692
1.879841,8.94565e-05
1.839199,6.289760000000001e-05
1.93251,0.000118851
1.85378,0.000130188
1.96857,0.000145044
1.880582,0.000108442
1.880499,0.000105063
1.935111,0.000143947
1.875625,8.72607e-05
1.962922,0.00015695
1.919514,0.000125465
1.874435,0.000114999
1.843009,0.000120738
1.947042,0.000145378
1.814246,8.62441e-05
1.867457,0.000100373
1.829473,0.000120476
1.871092,0.000140649
1.843344,0.000105307
1.811965,0.000119434
1.821292,0.000107986
1.873301,0.000155416
1.913868,0.000169766
1.859764,0.000137088
1.854257,0.000133607
1.842012,9.52907e-05
1.816577,0.00011226
1.774409,0.000104574
1.794666,8.041960000000001e-05
1.821954,0.000147246
1.819692,0.000112535
1.836974,0.000119253
1.784129,8.39594e-05
1.792514,0.000118403
1.837898,0.000134211
1.780628,7.63998e-05
1.788402,0.000117139
1.739255,7.2846e-05
1.792405,0.000101692
1.694471,8.73993e-05
1.796252,9.509359999999999e-05
1.783361,0.000115111
1.801804,0.000123139
1.766816,0.000110273
1.762815,0.000130311
1.742368,7.67261e-05
1.741485,9.81256e-05
1.764212,0.000106302
1.810526,0.000158915
1.809199,0.000131239
1.711258,9.24933e-05
1.704056,7.555890000000001e-05
1.70177,5.68895e-05
1.721002,7.76445e-05
1.736543,6.72964e-05
1.730543,9.22335e-05
1.729762,9.42432e-05
1.702595,6.46428e-05
1.718936,6.34113e-05
1.650161,7.056140000000001e-05
1.775144,0.000135888
1.697145,0.000112709
1.781679,0.000143677
1.666749,7.2069e-05
1.73278,8.4015e-05
1.675037,4.95925e-05
1.782588,9.1279e-05
1.705453,0.000110778
1.680068,6.42542e-05
1.699589,7.13579e-05
1.729247,9.404589999999999e-05
1.682841,0.000112477
1.736635,0.000127894
1.713817,9.891359999999999e-05
1.677459,8.07007e-05
1.646669,6.0204e-05
1.664603,6.90213e-05
1.745556,0.000121881
1.696786,9.27612e-05
1.730527,0.000140752
1.699376,8.421190000000001e-05
1.718983,7.26387e-05
1.680876,9.14614e-05
1.671225,5.8631e-05
1.678468,6.41235e-05
1.719677,0.00011571
1.74014,0.0001313
1.683883,9.42414e-05
1.612928,7.737320000000001e-05
1.655318,9.59146e-05
1.662641,9.66521e-05
1.734765,0.000126716
1.604433,6.12952e-05
1.637107,9.65736e-05
1.617672,9.16435e-05
1.63993,8.48077e-05
1.655913,9.49519e-05
1.634059,7.61444e-05
1.60979,7.4269e-05
1.6281,0.000102426
1.633097,8.68184e-05
1.604957,7.84247e-05
1.631171,9.167790000000001e-05
1.618669,7.33753e-05
1.588715,7.139699999999999e-05
1.652106,9.58277e-05
1.585338,7.76534e-05
1.603012,9.76166e-05
1.618036,8.97702e-05
1.615019,9.79568e-05
1.602595,9.35295e-05
1.529656,3.85935e-05
1.618739,9.279380000000001e-05
1.593846,7.92568e-05
1.585541,7.32137e-05
1.654709,0.000114787
1.640868,0.000103074
1.621731,9.49395e-05
1.538418,7.3432e-05
1.616983,0.000107751
1.564264,7.46546e-05
1.522366,4.98036e-05
1.560558,8.95297e-05
1.597334,9.446240000000001e-05
1.585203,9.271340000000001e-05
1.533202,6.300300000000001e-05
1.541345,7.34494e-05
1.543961,6.330619999999999e-05
1.549718,7.57853e-05
1.5408,0.000108972
1.568345,9.390330000000001e-05
1.57354,0.000112377
1.507349,3.24303e-05
1142.926,0.012123582
